Host Nation,City/Town,Category,Surface,Tournament Name
USA,"Harlingen, TX",M25,Outdoor - Hard,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
Canada,Trois-Rivièeres,M15,Indoor - Hard,
Croatia,Bol,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
Greece,Heraklion,M15,Outdoor - Hard,
Japan,yanagawa city,M15,Outdoor - Hard,
Colombia,Ibagué,M15,Outdoor - Clay,
Malta,Malta,M15,Outdoor - Hard,
Italy,Selva Gardena,M15,Indoor - Hard,
Hungary,Szabolcsveresmart,M15,Indoor - Hard,
Thailand,Hua Hin,M15,Outdoor - Hard,
Spain,VALENCIA,M25,Outdoor - Clay,
Canada,Montreal,M25,Indoor - Hard,
Brazil,Santa Cruz do Sul,M25,Outdoor - Clay,
USA,"East Lansing, MI",M25,Indoor - Hard,
Mexico,Guadalajara,M25,Outdoor - Clay,
Tunisia,Monastir,M25,Outdoor - Hard,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
USA,"Orlando, FL",M15,Outdoor - Clay,
Colombia,Valledupar,M15,Outdoor - Hard,
Greece,Heraklion,M15,Outdoor - Hard,
Turkiye,Antalya,M15,Outdoor - Clay,
Bahrain,Manama,M15,Outdoor - Hard,
Italy,San Gregorio di Catania,M15,Outdoor - Clay,
Bahrain,Manama,M25,Outdoor - Hard,
Portugal,Vale do Lobo,M25,Outdoor - Hard,
USA,"Columbus, OH",M25,Indoor - Hard,
Tunisia,Monastir,M25,Outdoor - Hard,
Mexico,Manzanillo,M25,Outdoor - Hard,
Argentina,Azul,M15,Outdoor - Clay,
Malaysia,Kuala Lumpur,M15,Outdoor - Hard,
Brazil,Criciuma,M15,Outdoor - Clay,
USA,"Orlando, FL",M15,Outdoor - Clay,
Spain,Las Palmas de Gran Canaria,M15,Outdoor - Clay,
Turkiye,Antalya,M15,Outdoor - Clay,
Greece,Heraklion,M15,Outdoor - Hard,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
Italy,San Gregorio di Catania,M15,Outdoor - Clay,
Angola,Luanda,M15,Outdoor - Hard,
Angola,Luanda,M25,Outdoor - Hard,
Greece,Heraklion,M25,Outdoor - Hard,
Turkiye,Antalya,M25,Outdoor - Clay,
Bolivia,Cochabamba,M25,Outdoor - Clay,
Portugal,Vale do Lobo,M25,Outdoor - Hard,
USA,"Austin, TX",M25,Outdoor - Hard,
Chile,Santiago,M15,Outdoor - Clay,
South Korea,Gimcheon,M15,Outdoor - Hard,
USA,"Tallahassee, FL",M15,Indoor - Hard,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
Malaysia,Kuala Lumpur,M15,Outdoor - Hard,
Argentina,Olavarría,M15,Outdoor - Clay,
Spain,Alcalá de Henares,M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
India,Bhubaneswar,M15,Outdoor - Hard,
India,Bhopal,M25,Outdoor - Hard,
Czechia,Hradec Kralove,M25,Indoor - Hard,
Turkiye,Antalya,M25,Outdoor - Clay,
Greece,Heraklion,M25,Outdoor - Hard,
Angola,Luanda,M25,Outdoor - Hard,
Vietnam,Phan Thiet,M15,Outdoor - Hard,
South Korea,Gimcheon,M15,Outdoor - Hard,
Bolivia,La Paz,M15,Outdoor - Clay,
Chile,Santiago,M15,Outdoor - Clay,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
Brazil,Ribeirao Preto,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
Spain,MADRID,M15,Outdoor - Hard,
India,Gwalior,M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Peru,Lima,M15,Outdoor - Clay,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
Spain,Madrid,M15,Outdoor - Clay,
Vietnam,Phan Thiet,M15,Outdoor - Hard,
Turkiye,Antalya,M15,Outdoor - Clay,
South Africa,Stellenbosch,M15,Outdoor - Hard,
Spain,CEUTA,M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Peru,Lima,M15,Outdoor - Clay,
New Zealand,Hamilton,M15,Outdoor - Hard,
Turkiye,Antalya,M15,Outdoor - Clay,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
South Africa,Stellenbosch,M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Peru,Lima,M15,Outdoor - Clay,
Turkiye,Antalya,M15,Outdoor - Clay,
New Zealand,Tauranga,M15,Outdoor - Hard,
Turkiye,Antalya,M15,Outdoor - Clay,
Morocco,Agadir,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
Morocco,Marrakech,M25,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
Australia,Perth,United Cup,Outdoor - Hard,United Cup
Australia,Sydney,United Cup,Outdoor - Hard,United Cup
Italy,Turin,ATP Finals,Indoor - Hard,Nitto ATP Finals
Saudi Arabia,Jeddah,Next Gen ATP Finals,Indoor - Hard,Next Gen ATP Finals presented by PIF
Australia,Melbourne,Grand Slam,Outdoor - Hard,Australian Open
France,Paris,Grand Slam,Outdoor - Clay,Roland-Garros
United Kingdom,London,Grand Slam,Outdoor - Grass,"The Championships, Wimbledon"
USA,"New York, NY",Grand Slam,Outdoor - Hard,US Open
USA,"Indian Wells, CA",ATP Masters 1000,Outdoor - Hard,BNP Paribas Open
USA,"Miami, FL",ATP Masters 1000,Outdoor - Hard,Miami Open presented by Itaú
Monaco,Monte-Carlo,ATP Masters 1000,Outdoor - Clay,Rolex Monte-Carlo Masters
Spain,Madrid,ATP Masters 1000,Outdoor - Clay,Mutua Madrid Open
Italy,Rome,ATP Masters 1000,Outdoor - Clay,Internazionali BNL d’Italia
Canada,Toronto,ATP Masters 1000,Outdoor - Hard,National Bank Open presented by Rogers
USA,"Cincinnati, O",ATP Masters 1000,Outdoor - Hard,Cincinnati Open
China,Shanghai,ATP Masters 1000,Outdoor - Hard,Rolex Shanghai Masters
France,Paris,ATP Masters 1000,Indoor - Hard,Rolex Paris Masters
Netherlands,Rotterdam,ATP 500,Indoor - Hard,ABN AMRO Open
Brazil,Rio de Janeiro,ATP 500,Outdoor - Clay,Rio Open presented by Claro
Qatar,Doha,ATP 500,Outdoor - Hard,Qatar ExxonMobil Open
United Arab Emirates,Dubai,ATP 500,Outdoor - Hard,Dubai Duty Free Tennis Championships
Mexico,Acapulco,ATP 500,Outdoor - Hard,Abierto Mexicano Telcel presentado por HSBC
Germany,Munich,ATP 500,Outdoor - Clay,BMW Open
Spain,Barcelona,ATP 500,Outdoor - Clay,Barcelona Open Banc Sabadell
Germany,Hamburg,ATP 500,Outdoor - Clay,Hamburg Open
Germany,Halle,ATP 500,Outdoor - Grass,Terra Wortmann Open
United Kingdom,London,ATP 500,Outdoor - Grass,HSBC Championships
USA,"Washington, D.C.",ATP 500,Outdoor - Hard,Mubadala Citi DC Open
China,Beijing,ATP 500,Outdoor - Hard,China Open
Japan,Tokyo,ATP 500,Outdoor - Hard,Kinoshita Group Japan Open Tennis Championships
Switzerland,Basel,ATP 500,Indoor - Hard,Swiss Indoors Basel
Austria,Vienna,ATP 500,Indoor - Hard,Erste Bank Open
Australia,Brisbane,ATP 250,Outdoor - Hard,Brisbane International presented by Evie
New Zealand,Auckland,ATP 250,Outdoor - Hard,ASB Classic
Australia,Adelaide,ATP 250,Outdoor - Hard,Adelaide International
Hong Kong,Hong Kong,ATP 250,Outdoor - Hard,Bank of China Hong Kong Tennis Open
France,Montpellier,ATP 250,Indoor - Hard,Open Occitanie
USA,"Dallas, O",ATP 500,Indoor - Hard,Dallas Open
France,Marseille,ATP 250,Indoor - Hard,Open 13 Provence
USA,"Delray Beach, IU",ATP 250,Outdoor - Hard,Delray Beach Open
Argentina,Buenos Aires,ATP 250,Outdoor - Clay,IEB+ Argentina Open
Chile,Santiago,ATP 250,Outdoor - Clay,Movistar Chile Open
USA,"Houston, I",ATP 250,Outdoor - Clay,Fayez Sarofim & Co. U.S. Men’s Clay Court Championship
Romania,Bucharest,ATP 250,Outdoor - Clay,Țiriac Open presented by UniCredit Bank
Morocco,Marrakech,ATP 250,Outdoor - Clay,Grand Prix Hassan II
Switzerland,Geneva,ATP 250,Outdoor - Clay,Gonet Geneva Open
Germany,Stuttgart,ATP 250,Outdoor - Grass,BOSS Open
Netherlands,’s-Hertogenbosch,ATP 250,Outdoor - Grass,Libéma Open
United Kingdom,Eastbourne,ATP 250,Outdoor - Grass,Lexus Eastbourne Open
Spain,Mallorca,ATP 250,Outdoor - Grass,Mallorca Championships
Mexico,Los Cabos,ATP 250,Outdoor - Hard,Mifel Tennis Open by Telcel Oppo
Sweden,Båstad,ATP 250,Outdoor - Clay,Nordea Open
Switzerland,Gstaad,ATP 250,Outdoor - Clay,EFG Swiss Open Gstaad
Croatia,Umag,ATP 250,Outdoor - Clay,Plava Laguna Croatia Open Umag
Austria,Kitzbühel,ATP 250,Outdoor - Clay,Generali Open
USA,"Winston-Salem, O",ATP 250,Outdoor - Hard,Winston-Salem Open
Sweden,Stockholm,ATP 250,Indoor - Hard,BNP Paribas Nordic Open
Kazakhstan,Almaty,ATP 250,Indoor - Hard,Almaty Open
France,Metz,ATP 250,Indoor - Hard,Moselle Open
China,Chengdu,ATP 250,Outdoor - Hard,Chengdu Open
China,Hangzhou,ATP 250,Outdoor - Hard,Hangzhou Open
Greece,Athens,ATP 250,Indoor - Hard,Hellenic Championship
Belgium,Brussels,ATP 250,Indoor - Hard,European Open
Australia,Canberra,Challenger 125,Outdoor – Hard,
New Caledonia,Nouméa,Challenger 100,Outdoor – Hard,
Thailand,Nonthaburi 1,Challenger 75,Outdoor – Hard,
Thailand,Nonthaburi 2,Challenger 75,Outdoor – Hard,
Great Britain,Nottingham 1,Challenger 75,Indoor – Hard,
Portugal,Oeiras 1,Challenger 75,Indoor – Hard,
Portugal,Oeiras 2,Challenger 100,Indoor – Hard,
Thailand,Nonthaburi 3,Challenger 75,Outdoor – Hard,
Argentina,Tigre,Challenger 50,Outdoor – Clay,
France,Quimper,Challenger 125,Indoor – Hard,
Portugal,Oeiras 3,Challenger 100,Indoor – Hard,
Uruguay,Punta del Este,Challenger 75,Outdoor – Clay,
Germany,Koblenz,Challenger 100,Indoor – Hard,
Brazil,Piracicaba,Challenger 100,Outdoor – Clay,
Australia,Brisbane 1,Challenger 75,Outdoor – Hard,
USA,"Cleveland, OH",Challenger 75,Indoor – Hard,
France,Lille,Challenger 125,Indoor – Hard,
Argentina,Rosario,Challenger 125,Outdoor – Clay,
India,Chennai,Challenger 100,Outdoor – Hard,
Australia,Brisbane 2,Challenger 75,Outdoor – Hard,
Spain,Tenerife 1,Challenger 75,Outdoor – Hard,
Bahrain,Manama,Challenger 125,Outdoor – Hard,
India,New Delhi,Challenger 75,Outdoor – Hard,
Spain,Tenerife 2,Challenger 75,Outdoor – Hard,
France,Pau,Challenger 125,Indoor – Hard,
India,Pune,Challenger 100,Outdoor – Hard,
Great Britain,Glasgow,Challenger 75,Indoor – Hard,
Congo (Rep.),Brazzaville,Challenger 50,Outdoor – Clay,
India,Bengaluru,Challenger 125,Outdoor – Hard,
USA,"San Diego, CA",Challenger 100,Outdoor – Hard,
Rwanda,Kigali 1,Challenger 75,Outdoor – Clay,
Switzerland,Lugano,Challenger 75,Indoor – Hard,
Rwanda,Kigali 2,Challenger 100,Outdoor – Clay,
Argentina,Córdoba,Challenger 75,Outdoor – Clay,
France,Thionville,Challenger 75,Indoor – Hard,
Greece,Hersonissos 1,Challenger 50,Outdoor – Hard,
USA,"Phoenix, AZ",Challenger 175,Outdoor – Hard,
Dominican Republic,Cap Cana,Challenger 175,Outdoor – Hard,
France,Cherbourg‑en‑Cotentin,Challenger 75,Indoor – Hard,
Chile,Santiago,Challenger 75,Outdoor – Clay,
Greece,Hersonissos 2,Challenger 50,Outdoor – Hard,
Paraguay,Asunción,Challenger 75,Outdoor – Clay,
Mexico,Mérida,Challenger 75,Outdoor – Clay,
Spain,Murcia,Challenger 75,Outdoor – Clay,
Croatia,Zadar,Challenger 75,Outdoor – Clay,
Mexico,Morelia,Challenger 125,Outdoor – Hard,
Italy,Naples,Challenger 125,Outdoor – Clay,
Spain,Girona,Challenger 100,Outdoor – Clay,
Chile,Concepción,Challenger 75,Outdoor – Clay,
Spain,Menorca,Challenger 100,Outdoor – Clay,
Italy,Barletta,Challenger 75,Outdoor – Clay,
Brazil,Campinas,Challenger 75,Outdoor – Clay,
Mexico,Cuernavaca,Challenger 75,Outdoor – Hard,
Mexico,Mexico City,Challenger 125,Outdoor – Clay,
Spain,Madrid,Challenger 100,Outdoor – Clay,
Italy,Monza,Challenger 100,Outdoor – Clay,
USA,"Sarasota, FL",Challenger 75,Outdoor – Clay,
South Korea,Busan,Challenger 125,Outdoor – Hard,
Portugal,Oeiras 4,Challenger 125,Outdoor – Clay,
Mexico,San Luis Potosí,Challenger 75,Outdoor – Clay,
USA,"Tallahassee, FL",Challenger 75,Outdoor – Clay,
Côte d’Ivoire,Abidjan 1,Challenger 50,Outdoor – Hard,
South Korea,Gwangju,Challenger 75,Outdoor – Hard,
Côte d’Ivoire,Abidjan 2,Challenger 50,Outdoor – Hard,
Italy,Rome,Challenger 50,Outdoor – Clay,
Argentina,San Miguel de Tucumán,Challenger 50,Outdoor – Clay,
France,Aix‑en‑Provence,Challenger 175,Outdoor – Clay,
Portugal,Estoril,Challenger 175,Outdoor – Clay,
Austria,Mauthausen,Challenger 100,Outdoor – Clay,
China,Guangzhou Nansha,Challenger 75,Outdoor – Hard,
Czech Republic,Ostrava,Challenger 75,Outdoor – Clay,
Brazil,Porto Alegre,Challenger 50,Outdoor – Clay,
China,Wuxi,Challenger 100,Outdoor – Hard,
Italy,Francavilla al Mare,Challenger 75,Outdoor – Clay,
Czech Republic,Prague,Challenger 75,Outdoor – Clay,
Brazil,Santos,Challenger 50,Outdoor – Clay,
France,Bordeaux,Challenger 175,Outdoor – Clay,
Italy,Turin,Challenger 175,Outdoor – Clay,
Portugal,Oeiras 5,Challenger 100,Outdoor – Clay,
Tunisia,Tunis,Challenger 75,Outdoor – Clay,
Croatia,Zagreb,Challenger 75,Outdoor – Clay,
Colombia,Bogotá,Challenger 50,Outdoor – Clay,
North Macedonia,Skopje,Challenger 75,Outdoor – Clay,
Georgia,Tbilisi,Challenger 50,Outdoor – Hard,
USA,"Little Rock, AR",Challenger 75,Outdoor – Hard,
Moldova,Chișinău,Challenger 50,Indoor – Hard,
Germany,Heilbronn,Challenger 100,Outdoor – Clay,
Czech Republic,Prostějov,Challenger 100,Outdoor – Clay,
USA,"Tyler, TX",Challenger 75,Outdoor – Hard,
Great Britain,Ilkley,Challenger 125,Outdoor – Grass,
Slovakia,Bratislava 1,Challenger 100,Outdoor – Clay,
France,Lyon,Challenger 100,Outdoor – Clay,
Argentina,Santa Fe,Challenger 50,Outdoor – Clay,
Great Britain,Nottingham 2,Challenger 125,Outdoor – Grass,
Italy,Sassuolo,Challenger 125,Outdoor – Clay,
Poland,Poznań,Challenger 100,Outdoor – Clay,
France,Royan,Challenger 50,Outdoor – Clay,
Bolivia,Santa Cruz de la Sierra,Challenger 50,Outdoor – Clay,
Italy,Milan,Challenger 75,Outdoor – Clay,
Peru,Lima 1,Challenger 50,Outdoor – Clay,
Romania,Brașov,Challenger 75,Outdoor – Clay,
Italy,Modena,Challenger 75,Outdoor – Clay,
France,Troyes,Challenger 50,Outdoor – Clay,
Germany,Braunschweig,Challenger 125,Outdoor – Clay,
Romania,Iași,Challenger 100,Outdoor – Clay,
Italy,Trieste,Challenger 100,Outdoor – Clay,
Canada,Winnipeg,Challenger 75,Outdoor – Hard,
Great Britain,Nottingham 3,Challenger 50,Outdoor – Grass,
San Marino,San Marino,Challenger 125,Outdoor – Clay,
Netherlands,Bunschoten,Challenger 75,Outdoor – Clay,
Canada,Granby,Challenger 75,Outdoor – Hard,
Spain,Pozoblanco,Challenger 75,Outdoor – Hard,
Switzerland,Zug,Challenger 125,Outdoor – Clay,
USA,"Bloomfield Hills, MI",Challenger 100,Outdoor – Hard,
Finland,Tampere,Challenger 75,Outdoor – Clay,
Spain,Segovia,Challenger 75,Outdoor – Hard,
Portugal,Porto,Challenger 100,Outdoor – Hard,
Germany,Hagen,Challenger 75,Outdoor – Clay,
USA,"Lexington, KY",Challenger 75,Outdoor – Hard,
Czech Republic,Liberec,Challenger 75,Outdoor – Clay,
Kazakhstan,Astana,Challenger 50,Outdoor – Hard,
Germany,Bonn,Challenger 75,Outdoor – Clay,
USA,"Chicago, IL",Challenger 75,Outdoor – Hard,
Italy,Cordenons,Challenger 75,Outdoor – Clay,
Poland,Grodzisk Mazowiecki,Challenger 75,Outdoor – Hard,
Mexico,Cancún,Challenger 125,Outdoor – Hard,
USA,"Sumter, SC",Challenger 125,Outdoor – Hard,
Colombia,Barranquilla,Challenger 75,Outdoor – Hard,
Italy,Todi,Challenger 75,Outdoor – Clay,
Greece,Hersonissos 3,Challenger 50,Outdoor – Hard,
Bulgaria,Sofia 1,Challenger 50,Outdoor – Clay,
Italy,Como,Challenger 75,Outdoor – Clay,
Spain,Manacor,Challenger 75,Outdoor – Hard,
Portugal,Porto 2,Challenger 75,Outdoor – Clay,
China,Zhangjiagang,Challenger 75,Outdoor – Hard,
Italy,Genoa,Challenger 125,Outdoor – Clay,
Spain,Seville,Challenger 125,Outdoor – Clay,
Austria,Tulln,Challenger 100,Outdoor – Clay,
China,Shanghai,Challenger 100,Outdoor – Hard,
France,Cassis,Challenger 75,Outdoor – Hard,
Turkey,Istanbul,Challenger 75,Outdoor – Hard,
Poland,Szczecin,Challenger 125,Outdoor – Clay,
China,Guangzhou (Huangpu),Challenger 100,Outdoor – Hard,
France,Rennes,Challenger 100,Indoor – Hard,
USA,"Winston‑Salem, NC",Challenger 75,Outdoor – Hard,
Italy,Biella,Challenger 50,Outdoor – Clay,
Romania,Târgu Mureș 1,Challenger 50,Outdoor – Clay,
Austria,Bad Waltersdorf,Challenger 125,Outdoor – Clay,
France,Saint‑Tropez,Challenger 125,Outdoor – Hard,
USA,"Columbus, OH",Challenger 75,Indoor – Hard,
Argentina,Villa María,Challenger 75,Outdoor – Clay,
Romania,Sibiu,Challenger 50,Outdoor – Clay,
Romania,Târgu Mureș 2,Challenger 50,Outdoor – Clay,
France,Orléans,Challenger 125,Indoor – Hard,
China,Jingshan,Challenger 100,Outdoor – Hard,
Portugal,Lisbon,Challenger 100,Outdoor – Clay,
Argentina,Buenos Aires,Challenger 75,Outdoor – Clay,
USA,"Las Vegas, NV",Challenger 75,Outdoor – Hard,
Spain,Villena,Challenger 100,Outdoor – Hard,
Chile,Antofagasta,Challenger 75,Outdoor – Clay,
Portugal,Braga,Challenger 75,Outdoor – Clay,
France,Mouilleron‑le‑Captif,Challenger 75,Indoor – Hard,
USA,"Tiburon, CA",Challenger 75,Outdoor – Hard,
China,Jinan,Challenger 125,Outdoor – Hard,
Spain,Valencia,Challenger 125,Outdoor – Clay,
France,Roanne,Challenger 100,Indoor – Hard,
Colombia,Cali,Challenger 75,Outdoor – Clay,
Greece,Hersonissos 5,Challenger 50,Outdoor – Hard,
USA,"Fairfield, CA",Challenger 50,Outdoor – Hard,
Italy,Olbia,Challenger 125,Outdoor – Hard,
Kazakhstan,Almaty,Challenger 250,Outdoor – Hard,
Brazil,Curitiba,Challenger 75,Outdoor – Clay,
USA,"Lincoln, NE",Challenger 75,Indoor – Hard,
China,Shenzhen (Futian),Challenger 75,Outdoor – Hard,
Greece,Hersonissos 6,Challenger 50,Outdoor – Hard,
Brazil,Costa do Sauípe,Challenger 125,Outdoor – Clay,
France,Brest,Challenger 100,Indoor – Hard,
China,Suzhou,Challenger 75,Outdoor – Hard,
Germany,Hamburg,Challenger 50,Indoor – Hard,
China,Chengdu,Challenger 250,Outdoor – Hard,
China,Hangzhou,Challenger 250,Outdoor – Hard,
Spain,Manacor (Mallorca),Challenger 75,Outdoor – Hard,
Italy,Como,Challenger 75,Outdoor – Clay,
Poland,Szczecin,Challenger 125,Outdoor – Clay,
China,Guangzhou,Challenger 100,Outdoor – Hard,
France,Rennes,Challenger 100,Indoor – Hard,
USA,"Winston‑Salem, NC",Challenger 75,Outdoor – Hard,
Italy,Biella,Challenger 50,Outdoor – Clay,
Romania,Târgu Mureș 1,Challenger 50,Outdoor – Clay,
Austria,Bad Waltersdorf,Challenger 125,Outdoor – Clay,
France,Saint‑Tropez,Challenger 125,Outdoor – Hard,
USA,"Columbus, OH",Challenger 75,Indoor – Hard,
Argentina,Villa María,Challenger 75,Outdoor – Clay,
Romania,Sibiu,Challenger 50,Outdoor – Clay,
Romania,Târgu Mureș 2,Challenger 50,Outdoor – Clay,
France,Orléans,Challenger 125,Indoor – Hard,
China,Jingshan,Challenger 100,Outdoor – Hard,
Portugal,Lisbon,Challenger 100,Outdoor – Clay,
Argentina,Buenos Aires,Challenger 75,Outdoor – Clay,
USA,"Las Vegas, NV",Challenger 75,Outdoor – Hard,
Spain,Villena,Challenger 100,Outdoor – Hard,
Chile,Antofagasta,Challenger 75,Outdoor – Clay,
Portugal,Braga,Challenger 75,Outdoor – Clay,
France,Mouilleron‑le‑Captif,Challenger 75,Indoor – Hard,
USA,"Tiburon, CA",Challenger 75,Outdoor – Hard,
China,Jinan,Challenger 125,Outdoor – Hard,
Spain,Valencia,Challenger 125,Outdoor – Clay,
France,Roanne,Challenger 100,Indoor – Hard,
Colombia,Cali,Challenger 75,Outdoor – Clay,
Greece,Hersonissos 5,Challenger 50,Outdoor – Hard,
USA,"Fairfield, CA",Challenger 50,Outdoor – Hard,
Italy,Olbia,Challenger 125,Outdoor – Hard,
Brazil,Curitiba,Challenger 75,Outdoor – Clay,
USA,"Lincoln, NE",Challenger 75,Indoor – Hard,
China,Shenzhen (Futian),Challenger 75,Outdoor – Hard,
Greece,Hersonissos 6,Challenger 50,Outdoor – Hard,
Brazil,Costa do Sauípe,Challenger 125,Outdoor – Clay,
France,Brest,Challenger 100,Indoor – Hard,
China,Suzhou,Challenger 75,Outdoor – Hard,
Ecuador,Guayaquil,Challenger 75,Outdoor – Clay,
Australia,Brisbane 3,Challenger 75,Outdoor – Hard,
Canada,Drummondville,Challenger 75,Indoor – Hard,
Spain,Montemar,Challenger 75,Outdoor – Clay,
Japan,Yokohama,Challenger 75,Outdoor – Hard,
Australia,Sydney,Challenger 75,Outdoor – Hard,
Egypt,Soma Bay,Challenger 50,Outdoor – Hard,
Portugal,Maia,Challenger 100,Indoor – Clay,
Chile,Temuco,Challenger 100,Outdoor – Hard,
Colombia,Bogotá (Los Lagartos),Challenger 75,Outdoor – Clay,
Australia,Playford,Challenger 75,Outdoor – Hard,
Greece,Hersonissos 7,Challenger 50,Outdoor – Hard,
Bahrain,Manama,Challenger 50,Outdoor – Hard,
